,collocate,raw_frequency,MI
0,,1424,6.240873271681369
1,118,1,2.929609024477986
2,13,1,0.7104055404229912
3,1792,1,2.8650705033404145
4,1797,1,3.8458997563521407
5,1832,1,3.6917490765248826
6,1833,1,3.2397639527818254
7,252,1,3.55821768390036
8,2nd,1,2.5021650096510464
9,3,1,-0.29192991780969857
10,49K,1,3.8458997563521407
11,9,1,0.31953923173597953
12,A,47,-1.0275907350451963
13,ARE,1,0.06550519340243123
14,Abel,2,0.7934721391216045
15,Addio,1,2.593136787856773
16,Adeline,1,-1.6051386972135597
17,Admit,1,1.924087158875888
18,Adriatic,1,2.379562687558714
19,Adrien,1,0.4843676310824169
20,Adèle,1,0.703185292449504
21,After,1,-3.370809730357317
22,Again,1,-2.115535044304145
23,Agnes,2,-1.1785288598764507
24,Ah,8,-1.4135468358069025
25,,1424,6.240873271681369
26,118,1,2.929609024477986
27,13,1,0.7104055404229912
28,1792,1,2.8650705033404145
29,1797,1,3.8458997563521407
30,1832,1,3.6917490765248826
31,1833,1,3.2397639527818254
32,252,1,3.55821768390036
33,2nd,1,2.5021650096510464
34,3,1,-0.29192991780969857
35,49K,1,3.8458997563521407
36,9,1,0.31953923173597953
37,A,47,-1.0275907350451963
38,ARE,1,0.06550519340243123
39,Abel,2,0.7934721391216045
40,Addio,1,2.593136787856773
41,Adeline,1,-1.6051386972135597
42,Admit,1,1.924087158875888
43,Adriatic,1,2.379562687558714
44,Adrien,1,0.4843676310824169
45,Adèle,1,0.703185292449504
46,After,1,-3.370809730357317
47,Again,1,-2.115535044304145
48,Agnes,2,-1.1785288598764507
49,Ah,8,-1.4135468358069025
50,,1424,6.240873271681369
51,118,1,2.929609024477986
52,13,1,0.7104055404229912
53,1792,1,2.8650705033404145
54,1797,1,3.8458997563521407
55,1832,1,3.6917490765248826
56,1833,1,3.2397639527818254
57,252,1,3.55821768390036
58,2nd,1,2.5021650096510464
59,3,1,-0.29192991780969857
60,49K,1,3.8458997563521407
61,9,1,0.31953923173597953
62,A,47,-1.0275907350451963
63,ARE,1,0.06550519340243123
64,Abel,2,0.7934721391216045
65,Addio,1,2.593136787856773
66,Adeline,1,-1.6051386972135597
67,Admit,1,1.924087158875888
68,Adriatic,1,2.379562687558714
69,Adrien,1,0.4843676310824169
70,Adèle,1,0.703185292449504
71,After,1,-3.370809730357317
72,Again,1,-2.115535044304145
73,Agnes,2,-1.1785288598764507
74,Ah,8,-1.4135468358069025
75,,1424,10.160466073813826
76,118,1,6.849201826610442
77,13,1,4.629998342555448
78,1792,1,6.784663305472871
79,1797,1,7.765492558484597
80,1832,1,7.611341878657338
81,1833,1,7.159356754914282
82,252,1,7.4778104860328165
83,2nd,1,6.421757811783502
84,3,1,3.6276628843227576
85,49K,1,7.765492558484597
86,9,1,4.239132033868436
87,A,47,2.89200206708726
88,ARE,1,3.9850979955348875
89,Abel,2,4.713064941254061
90,Addio,1,6.512729589989229
91,Adeline,1,2.3144541049188967
92,Admit,1,5.843679961008344
93,Adriatic,1,6.29915548969117
94,Adrien,1,4.403960433214873
95,Adèle,1,4.62277809458196
96,After,1,0.5487830717751394
97,Again,1,1.8040577578283112
98,Agnes,2,2.7410639422560057
99,Ah,8,2.506045966325554
100,1792,1,6.784663305472871
101,1832,1,7.611341878657338
102,1833,1,7.159356754914282
103,49K,1,7.765492558484597
104,9,1,4.239132033868436
105,A,37,2.652772378021426
106,Abel,1,4.019917760694115
107,Admit,1,5.843679961008344
108,Adriatic,1,6.29915548969117
109,Adèle,1,4.62277809458196
110,After,1,0.5487830717751394
111,Again,2,2.4972049383882564
112,Agnes,2,2.7410639422560057
113,Ah,4,1.8128987857656085
114,Aileen,1,3.0833613313603774
115,Ain,2,4.491497434395317
116,Alas,1,2.5988036344149967
117,Alcibiades,2,5.514200759878102
118,Aleck,1,4.566819440933916
119,Alexandria,1,4.015988482554226
120,Alexina,1,3.3876412952211963
121,Alfred,1,3.5885444677272864
122,Alice,1,1.346312294333631
123,All,8,2.2318560646922174
124,Allan,1,4.195959862003227
125,Although,1,3.077207465785999
126,Alvarado,1,5.18780417524563
127,Always,4,4.8058193347463085
128,Amazons,1,7.254666934718607
129,Amelia,1,2.470514093202075
130,America,2,2.745457139876426
131,American,1,1.683273648108151
132,Amid,1,4.3867680326745
133,Among,1,2.905680154122925
134,Amoyah,2,6.666880269816487
135,Amuse,1,7.360027450376433
136,Amy,2,2.489506012421574
137,An,5,2.669495395237205
138,And,38,1.942861988518918
139,Angus,1,4.494656994685686
140,Annabella,1,5.1264352288693384
141,Anstruthers,1,3.8271522447390773
142,Answer,1,4.039799131247944
143,Antoinette,1,4.838753156417558
144,Antony,1,3.59110528858896
145,Any,1,2.6758407240701167
146,Appalachians,1,7.360027450376433
147,April,1,3.261986026273006
148,Apt,1,8.170957666592761
149,Arab,1,3.8977698119530313
150,Are,4,2.5473915257933615
151,Armour,1,3.9332345215253137
152,Arno,1,5.2805859086965965
153,Arrived,1,4.884423193250746
154,Arthur,1,1.7857632675950361
155,As,10,1.8348844308893937
156,At,11,1.9912233791710638
157,Athanase,1,7.159356754914282
158,Athenian,1,5.20054320102306
159,Aubert,2,4.172756964923563
160,Audley,3,3.753121579222169
161,Augustina,1,3.6628491934478014
162,Augustine,1,4.381102295138823
163,Autumn,1,6.189956197726178
164,Avenue,1,3.297670563647729
165,Avigdor,1,9.557252027712652
166,Ay,1,1.8807783813234955
167,Aye,1,2.80498165157091
168,BLUDE,1,8.864104847152706
169,BLYTHE,1,9.557252027712652
170,BODLE,1,9.557252027712652
171,Bachelor,2,7.305960229106157
172,Back,1,3.6628491934478014
173,Baden,2,6.443736718502278
174,Baltasar,1,6.9923026702511155
175,Bannisdale,1,4.713064941254061
176,Barebone,2,4.536666402763228
177,Barlasch,3,4.8969625425034815
178,Barnaby,3,4.055993817167925
179,Baronet,1,3.830404280125455
180,Barrace,2,6.091516124912926
181,Be,3,3.061986471775644
182,Beach,1,4.992903836244816
183,Because,4,3.0638764742282536
184,Becky,1,2.8334195868914436
185,Before,3,2.69938751834398
186,Behind,1,3.299584439830013
187,Being,2,3.7506121676167434
188,Belle,1,4.13230201023125
189,Benicia,3,5.983035481918856
190,Berbel,1,4.475847662728189
191,Bertram,1,3.2731178666418503
192,Besides,1,1.7497419854964593
193,Betsy,1,3.3228413019942806
194,Bevis,2,4.967195479534609
195,Bigot,1,4.284252469148905
196,Black,1,2.4263531974163053
197,Blackwater,2,4.825449190791195
198,Blanche,3,4.580518285292078
199,Blue,1,3.5708000224282146
200,Bolton,1,6.03089150309649
201,Born,1,5.294572150671336
202,Boston,2,3.979410776414298
203,Both,1,2.4916386641149346
204,Boulevards,1,6.421757811783502
205,Bournemouth,1,5.58696011416053
206,Boyne,1,4.427353312789578
207,Bransby,1,3.3547165105247294
208,Brian,1,2.5706855683062253
209,Bright,1,3.4502291399703977
210,Brighton,2,4.5235514606854
211,Brooke,1,4.347765874871231
212,Bruce,2,4.922523039483016
213,Brun,1,4.253947119653576
214,Buck,1,3.145433760002755
215,Bukaty,1,5.462907465490551
216,Bunnies,1,9.557252027712652
217,Buona,1,7.360027450376433
218,Burch,1,5.686051016804761
219,Burgoyne,1,3.2168927239849
220,But,45,1.8973262277211087
221,Butterfly,1,5.531900336977503
222,By,2,1.2827675431054644
223,Byron,1,4.637271101884528
224,C,1,2.905680154122925
225,CHAPTER,2,1.1274702933073841
226,CHELTENHAM,1,7.765492558484597
227,California,1,2.9278887742752033
228,Camelford,1,5.58696011416053
229,Cameron,5,3.538172313571697
230,Camilla,8,3.983198659731235
231,Can,1,1.4519445122075016
232,Cannes,1,5.239763914176342
233,Captain,2,1.8528908598023397
234,Caroline,1,3.29005147917129
235,Carson,1,4.008175942817433
236,Carterette,1,4.786567403246988
237,Cascine,1,7.254666934718607
238,Cassy,1,4.068314301555966
239,Castell,1,3.679516245933013
240,Castle,1,2.3274132495614017
241,Catholics,1,4.580518285292078
242,Cavalier,2,6.060744466246172
243,Cavigni,5,6.822884518293068
244,Ceaselessly,1,8.458639739044543
245,Cecilia,2,2.356454070036638
246,Center,1,6.512729589989229
247,Certainly,1,2.0802135553929557
248,Chamber,1,4.821053579318157
249,Chantonnays,1,8.458639739044543
250,Charles,1,1.3379259338065608
251,Charlie,2,3.5546002912141055
252,Charlotte,2,2.6455047274609775
253,Charmion,1,4.289393868649324
254,Che,1,6.29915548969117
255,Cheffington,1,3.702180105510225
256,Cheltenham,1,4.778128534601123
257,Cherche,1,7.072345377924652
258,Chicago,1,3.3772353740600796
259,Chicagoan,1,7.947814115278552
260,China,1,4.2589346611646155
261,Christine,1,4.912861128571279
262,Christmas,2,2.9050343678557287
263,Christopher,1,3.5783662628115303
264,Chrysanthemums,1,8.864104847152706
265,Church,2,2.218363893873773
266,Clapham,1,5.138411419916054
267,Clara,1,2.1958765987353033
268,Clare,2,3.4162904694587586
269,Cleopatra,1,3.408783731795005
270,Clever,1,5.531900336977503
271,Clintock,1,8.458639739044543
272,Club,1,3.3228413019942806
273,Cobb,1,4.0238625389851315
274,Come,9,2.867514570182744
275,Con,1,6.338376202844452
276,Concha,1,3.6964658042467864
277,Consider,1,4.331505353999451
278,Conyngham,3,4.511678682255116
279,Corfield,1,7.765492558484597
280,Corinthian,1,5.819582409429284
281,Cornelia,1,3.5484388422700572
282,Corner,1,4.786567403246988
283,Cornish,4,4.596157179176532
284,Coryston,3,4.079394747332538
285,Cossack,1,6.03089150309649
286,Court,1,2.00764286255812
287,Courtesy,1,6.724038683656436
288,Coverley,1,5.462907465490551
289,Cradle,1,7.947814115278552
290,Crawford,2,3.7327279353603227
291,Crawley,1,2.5290505956546476
292,Crewe,3,5.057442357382387
293,D,3,3.330056813784989
294,DEAD,1,5.5499188424801815
295,Danube,1,5.750589537942332
296,Darrel,1,4.239132033868436
297,Dat,1,4.6445971419766
298,David,1,2.122994645579517
299,Dead,1,3.5098798486663743
300,Dear,1,1.9080357078920192
301,December,2,4.3726634264929585
302,Delacour,2,3.1259209457791735
303,Delight,1,6.466209574354337
304,Denis,1,4.186613999584989
305,Denise,1,3.830404280125455
306,Dennis,1,5.294572150671336
307,Desiree,3,4.627585796150063
308,Despite,1,4.884423193250746
309,Deulin,5,5.517715701985546
310,Devonshire,1,4.127906398758212
311,Dick,3,2.5697617807116617
312,Did,3,2.1440857576660233
313,Dispel,1,9.557252027712652
314,Dissipation,1,7.947814115278552
315,Do,4,1.4590652149712464
316,Does,1,2.187021385905571
317,Doesn,1,4.13230201023125
318,Don,3,1.4463242645753482
319,Donna,1,2.9005255035342605
320,Doris,1,3.7401408677494477
321,Dorothee,1,4.629998342555448
322,Douglas,1,3.1421550685410566
323,Down,1,2.8801685664655166
324,Dublin,1,3.641049965105217
325,Durban,1,5.531900336977503
326,During,2,2.892205455539565
327,Dutch,1,3.630326001742241
328,Dyce,1,3.352694265143962
329,Each,2,3.309209153204223
330,Eagles,1,5.308756785663293
331,Earl,1,2.647498746067842
332,Early,1,3.7137076106812925
333,East,1,2.4498265536019477
334,Easy,1,5.18780417524563
335,Edgar,1,2.380997495695508
336,Edmonstone,1,3.055962357172263
337,Edward,2,2.1083359251684515
338,Egan,1,6.918194698097394
339,Eh,1,2.9358463759485174
340,El,1,4.705221763793035
341,Eleanor,3,3.220426296566211
342,Elizabeth,1,1.526517103614111
343,Ellen,1,2.246033643293024
344,Emily,2,1.9671577668871731
345,En,1,5.239763914176342
346,Enderby,2,4.047863691084675
347,England,3,1.8516892976271369
348,English,2,1.3037639993667474
349,Englishman,2,2.9614715137513405
350,Essex,1,4.637271101884528
351,Estella,1,3.4636822576675166
352,Estenega,2,4.803661836606287
353,Europe,2,2.823850135875293
354,Eve,1,2.738327962437131
355,Even,6,3.050223102491506
356,Everybody,2,3.592388162401849
357,Fabio,1,5.226518687426321
358,Fair,2,4.1568294382274615
359,Falls,1,4.912861128571279
360,Fancy,1,4.101930912354951
361,Fanny,1,1.7264290325773364
362,Farmers,1,7.254666934718607
363,Fashion,1,6.001903966223239
364,Father,1,1.1162921422960037
365,Ferdinand,2,4.064190584372104
366,Ferribys,1,7.947814115278552
367,Figtree,1,6.3791981973647065
368,Findon,1,4.186613999584989
369,Fitton,1,8.864104847152706
370,Flags,1,7.611341878657338
371,Flam,1,5.606008309131225
372,Flodoardo,1,4.29975665568487
373,Florence,1,2.6045233830877836
374,Florentines,1,5.1264352288693384
375,Flushed,1,6.849201826610442
376,Foix,1,5.568267981148377
377,For,9,1.898500035183795
378,Fortunatus,1,7.254666934718607
379,Forty,1,4.409757550899199
380,France,4,2.979738435601092
381,Francesca,2,4.084981354041178
382,Francisco,2,3.8518042737373897
383,Frank,2,2.9842704287161466
384,Frankfort,1,3.7703546463459445
385,Frederick,2,3.4899845171891695
386,French,5,2.584833235404793
387,Frenchman,5,4.3466735754726225
388,Frenchmen,1,4.274048298974663
389,Friendly,1,7.4778104860328165
390,From,2,1.7374148616304148
391,Fulvia,1,4.110514656046342
392,Gabord,1,4.106213574146952
393,Gains,1,9.557252027712652
394,Gans,1,7.4778104860328165
395,Garcon,1,7.611341878657338
396,Garter,1,6.1232648232275055
397,Gascony,1,5.2531869345084825
398,Gave,1,6.784663305472871
399,General,1,1.9740045034092903
400,Gentile,1,5.114600771222335
401,Gentle,1,5.479714583806933
402,George,2,1.5825471405712468
403,Germans,1,4.068314301555966
404,Gestures,1,8.864104847152706
405,Giovanni,3,3.307276785453169
406,Girls,1,4.48834782549242
407,Glancing,1,4.884423193250746
408,Gloria,1,2.7887588160640226
409,Glory,1,2.637568177865241
410,Glynde,1,4.942131510871393
